VaFdezSen;gl;tr;true;SOBROSO
JSrzSom;gl;tr;true;SANCHOI
JSrzSom;gl;tr;true;D.MARTIM            
PaySrzTav;gl;tr;true;SANCHOI
PaySrzTav;gl;tr;true;SOESTO            
PaySrzTav;gl;tr;true;FERNANDOIII            
AfLpzBay;pt;tr;true;SOUSA            
EstFai;cas;tr;true;FERNANDOIII
EstFai;cas;tr;true;AFONSOX            
MartMo;gl;tr;true;AFONSOX
JSrzPav;pt;tr;true;AFONSOII
MartSrz;pt;tr;true;FERNANDOIII
AyCarp;gl;tr;true;RODEIRO
NuFdzTor;gl;tr;true;FERNANDOIII
FerGarEsg;pt;tr;true;SOUSA
FerGarEsg;pt;tr;true;FERNANDOIII            
FerGarEsg;pt;tr;true;AFONSOIII            
RoyQuey;pt;tr;true;FERNANDOIII
RoyQuey;pt;tr;true;AFONSOX            
VasGil;pt;tr;true;SOBROSO
VasGil;pt;tr;true;SANCHOII            
VasGil;pt;tr;true;FERNANDOIII            
JSrzCoe;pt;tr;true;SERPA
JSrzCoe;pt;tr;true;BERENGUER            
JSrzCoe;pt;tr;true;FERNANDOIII            
JSrzCoe;pt;tr;true;AFONSOIII
RoyPaezRib;gl;tr;true;AFONSOX
JLpzUlh;gl;tr;true;SOESTO
FerGvzSeav;pt;tr;true;AFONSOIII
PGmzBarr;pt;tr;true;AFONSOX
JGarGlh;pt;tr;true;SOUSA
JGarGlh;pt;tr;true;FERNANDOIII            
JGarGlh;pt;tr;true;AFONSOX            
JGarGlh;pt;tr;true;AFONSOIII
JVqzTal;cas;tr;true;AFONSOX
JVqzTal;cas;tr;true;SANCHOIV            
PPon;gl;tr;true;FERNANDOIII
PPon;gl;tr;true;AFONSOX            
PPon;gl;tr;true;HARO            
PPon;gl;tr;true;MENESES
Den;pt;tr;true;D.DINIS
PayGmzCha;gl;tr;true;SANCHOIV
FerVelho;gl;tr;true;AFONSOX
BonGen;it;tr;true;AFONSOX
RoyFdz;gl;tr;true;AFONSOX
VaMrzRes;pt;tr;true;D.DINIS
VaMrzRes;pt;tr;true;AFONSOIV            
FerEsq;gl;tr;true;SOESTO
PPort;pt;nb;true;D.DINIS
PPort;pt;nb;true;AFONSOXI            
PPort;pt;nb;true;D.DINIS            
PPort;pt;nb;true;D.PEDRO
EstGuar;pt;tr;true;D.DINIS
EstGuar;pt;tr;true;AFONSOIV            
Johan;leo;jn;true;D.DINIS
Johan;leo;jn;true;D.PEDRO            
AfSchz;pt;tr;true;D.DINIS
EstCoe;pt;tr;true;D.DINIS
GarMdzEi;pt;tr;true;SANCHOI
GarMdzEi;pt;tr;true;AFONSOIX            
GarMdzEi;pt;tr;true;AFONSOII            
GarMdzEi;pt;tr;true;SOUSA
OsEa;gl;tr;true;TRABA
FerPaezTal;gl;tr;true;TRABA
MonFdzMir;gl;tr;true;SOESTO
BernBon;gl;tr;true;SOUSA
PVelho;gl;tr;true;SOESTO
PVelho;gl;tr;true;SANCHOI            
RoyGmzBret;pt;tr;true;AFONSOIX
RoyGmzBret;pt;tr;true;AFONSOIII            
PGarAm;gl;tr;true;SOESTO
PGarAm;gl;tr;true;FERNANDOIII            
JAy;gl;tr;true;AFONSOX
JAy;gl;tr;true;SANCHOIV            
AlfX;cas;tr;true;AFONSOX
FerSrzQuinh;leo;tr;true;AFONSOX
FerSrzQuinh;leo;tr;true;SANCHOIV            
PGtrz;leo;tr;true;AFONSOX
Cald;arag;jn;true;SANCHOIV
Cald;arag;jn;true;D.DINIS            
Picandon;occ;jn;true;FERNANDOIII
Picandon;occ;jn;true;BERENGUER            
Lour;pt;jn;true;AFONSOIII
Lour;pt;jn;true;AFONSOX            
Arn;occ;tr;true;BERENGUER
Arn;occ;tr;true;AFONSOX            
AfFdzCob;sev;tr;true;SANCHOIV
AlfXI;sev;tr;true;AFONSOXI
GmzGar;sev;tr;true;SANCHOIV
