Pero Garcia d' Ambroa;PGarAm;gl;2;true;Ferdinand III
Johan Airas;JAy;gl;3;true;Alfonso X
Johan Airas;JAy;gl;3;true;Sancho IV
Alfonso X;AlfX;cas;3;true;Alfonso X
Fernan Soarez de Quinhones;FerSrzQuinh;leo;3;true;Alfonso X
Fernan Soarez de Quinhones;FerSrzQuinh;leo;3;true;Sancho IV
Pero Goterrez;PGtrz;leo;3;true;Alfonso X
Caldeiron;Cald;arag;3;true;Sancho IV
Caldeiron;Cald;arag;3;true;D. Dinis
Picandon;Picandon;occ;3;true;Ferdinand III
Picandon;Picandon;occ;3;true;Raimon Berenguer IV
Lourenzo;Lour;pt;3;true;Afonso III
Lourenzo;Lour;pt;3;true;Alfonso X
Arnaldo;Arn;occ;3;true;Raimon Berenguer IV
Arnaldo;Arn;occ;3;true;Alfonso X
Afonso Fernandez Cebolhilha;AfFdzCob;sev;3;true;Sancho IV
Alfonso XI;AlfXI;cas;4;true;Alfonso XI
Gomez Garcia;GmzGar;cas;3;true;Sancho IV
